customer_id,gender,customer_name,age,city_id,customer_type
296,M,Rajesh Verma,18,7,One-time
297,M,Sanjay Joshi,53,3,Regular
298,F,Preeti Iyer,37,1,Corporate
299,M,Karan Chopra,48,3,One-time
300,F,Pooja Sharma,25,4,One-time
301,M,Amit Sharma,57,6,One-time
302,M,Sanjay Iyer,41,2,Regular
303,F,Priya Sharma,37,9,Regular
304,M,Suresh Gupta,32,9,Corporate
305,M,Amit Verma,47,4,One-time
306,F,Preeti Kumar,37,6,Regular
307,F,Sonia Verma,55,1,Corporate
308,F,Neha Chopra,19,10,Corporate
309,F,Preeti Iyer,23,1,Corporate
310,M,Suresh Patel,59,5,Regular
311,F,Anita Chopra,35,3,One-time
312,F,Preeti Joshi,53,5,Regular
313,M,Ramesh Iyer,31,8,Corporate
314,F,Sunita Patel,43,6,Corporate
315,M,Ramesh Singh,51,8,Corporate
316,F,Anita Iyer,47,8,One-time
317,M,Ramesh Chopra,24,2,Corporate
318,F,Kavita Verma,47,4,Regular
319,M,Ramesh Kumar,35,9,Corporate
320,M,Suresh Singh,39,7,One-time
321,M,Anil Verma,34,1,One-time
322,F,Rekha Verma,48,1,One-time
323,F,Rekha Iyer,34,6,Corporate
324,F,Sonia Joshi,48,7,Regular
325,M,Rahul Chopra,30,2,One-time
326,M,Amit Sharma,44,7,Regular
327,M,Ramesh Singh,37,6,Corporate
328,F,Ayesha Gupta,34,5,Corporate
329,M,Arjun Joshi,46,9,Regular
330,F,Pooja Singh,56,7,Regular
331,M,Arjun Sharma,52,6,Corporate
332,M,Rajesh Verma,25,9,Regular
333,M,Arjun Kumar,60,10,One-time
334,M,Suresh Singh,55,5,One-time
335,F,Pooja Iyer,32,3,Corporate
336,M,Ramesh Iyer,18,8,One-time
337,M,Amit Gupta,50,5,One-time
338,F,Anita Reddy,20,5,Corporate
339,M,Ramesh Joshi,56,3,Corporate
340,F,Kavita Reddy,55,6,Corporate
341,F,Ayesha Sharma,32,2,Corporate
342,M,Vijay Singh,59,4,Corporate
343,F,Neha Joshi,35,5,Corporate
344,M,Vijay Joshi,55,10,One-time
345,F,Kavita Joshi,48,8,Regular
346,M,Sanjay Kumar,37,3,Corporate
347,F,Sonia Verma,24,5,One-time
348,M,Rahul Gupta,54,8,One-time
349,M,Vijay Verma,44,4,One-time
350,M,Sanjay Verma,25,7,Regular
351,F,Priya Kumar,31,4,Regular
352,M,Arjun Gupta,32,3,Regular
353,M,Arjun Gupta,24,2,Regular
354,F,Anita Kumar,50,4,One-time
355,F,Kavita Gupta,51,6,Regular
356,M,Sanjay Patel,21,9,Regular
357,F,Ayesha Verma,18,9,Regular
358,M,Arjun Iyer,58,2,One-time
359,M,Karan Kumar,31,7,One-time
360,M,Amit Patel,48,2,Corporate
361,M,Amit Chopra,55,4,Regular
362,M,Rajesh Iyer,37,1,One-time
363,F,Preeti Joshi,20,8,One-time
364,M,Suresh Chopra,52,8,Corporate
365,M,Rahul Iyer,63,7,One-time
366,M,Sanjay Reddy,50,6,Regular
367,F,Sunita Sharma,32,7,Corporate
368,M,Karan Kumar,20,5,Corporate
369,F,Kavita Joshi,45,10,Regular
370,F,Anita Gupta,44,7,One-time
371,F,Sonia Kumar,64,5,One-time
372,F,Preeti Joshi,64,4,Corporate
373,F,Kavita Chopra,50,2,One-time
374,F,Neha Patel,36,2,Regular
375,F,Ayesha Chopra,50,1,One-time
376,M,Karan Reddy,48,1,Regular
377,F,Anita Singh,21,2,One-time
378,M,Vijay Gupta,49,5,Corporate
379,M,Rahul Gupta,59,10,Regular
380,F,Kavita Kumar,45,4,Corporate
381,F,Sonia Singh,33,4,Corporate
382,M,Rajesh Singh,60,3,One-time
383,F,Ayesha Sharma,45,2,Regular
384,M,Anil Joshi,32,1,Regular
385,M,Sanjay Iyer,39,2,One-time
386,F,Sunita Singh,48,1,Regular
387,M,Suresh Reddy,38,9,One-time
388,F,Kavita Iyer,49,6,One-time
389,F,Pooja Kumar,24,2,Regular
390,F,Pooja Sharma,50,4,Corporate
391,F,Rekha Gupta,25,6,One-time
392,F,Priya Gupta,31,3,Corporate
393,F,Pooja Patel,42,7,One-time
394,F,Preeti Kumar,49,9,One-time
395,F,Kavita Kumar,45,4,Regular
396,F,Anita Gupta,19,8,Regular
397,M,Amit Verma,34,3,Regular
398,M,Karan Gupta,44,2,Corporate
399,M,Arjun Kumar,19,1,Regular
400,M,Suresh Verma,25,7,Corporate
401,M,Anil Patel,55,8,Regular
402,M,Rahul Joshi,37,6,Regular
403,M,Anil Chopra,54,7,One-time
404,F,Ayesha Sharma,38,1,Corporate
405,M,Arjun Singh,43,10,Corporate
406,F,Pooja Sharma,48,8,Corporate
407,F,Rekha Sharma,37,6,One-time
408,M,Karan Singh,23,9,One-time
409,M,Amit Chopra,32,1,Regular
410,F,Anita Joshi,18,8,Corporate
411,M,Sanjay Chopra,43,10,Corporate
412,F,Ayesha Joshi,46,9,One-time
413,F,Kavita Iyer,19,5,Corporate
414,F,Preeti Reddy,39,9,One-time
415,F,Neha Iyer,46,3,Corporate
416,M,Suresh Reddy,26,2,Corporate
417,F,Pooja Verma,58,5,One-time
418,M,Rajesh Iyer,38,3,Corporate
419,F,Kavita Sharma,49,8,One-time
420,M,Arjun Reddy,49,3,One-time
421,M,Amit Iyer,64,7,Corporate
422,M,Arjun Iyer,61,5,Regular
423,M,Anil Patel,57,5,One-time
424,M,Vijay Sharma,43,1,One-time
425,F,Sonia Verma,30,10,One-time
426,M,Vijay Patel,20,6,Regular
427,F,Ayesha Chopra,49,7,Corporate
428,M,Rajesh Gupta,50,2,One-time
429,F,Pooja Iyer,50,5,Regular
430,F,Sunita Gupta,59,8,Corporate
431,M,Rajesh Gupta,59,1,Corporate
432,F,Sunita Joshi,30,2,Corporate
433,M,Karan Chopra,60,2,Regular
434,M,Anil Singh,23,6,One-time
435,M,Arjun Patel,21,7,One-time
436,F,Ayesha Joshi,55,4,One-time
437,F,Rekha Joshi,23,2,Corporate
438,F,Sonia Singh,20,4,Regular
439,F,Preeti Joshi,44,9,One-time
440,F,Anita Joshi,57,9,Corporate
441,F,Sonia Iyer,37,2,One-time
442,F,Sunita Iyer,35,5,Regular
443,M,Amit Verma,37,5,Regular
444,M,Arjun Verma,47,3,Corporate
445,M,Ramesh Joshi,27,2,One-time
446,F,Sunita Verma,40,6,One-time
447,M,Rahul Verma,64,4,Corporate
448,M,Vijay Gupta,20,1,One-time
449,M,Ramesh Reddy,26,2,One-time
450,F,Sunita Verma,36,4,Corporate
451,F,Rekha Joshi,53,10,One-time
452,M,Rahul Singh,57,2,Regular
453,M,Rajesh Verma,44,3,Corporate
454,M,Sanjay Chopra,59,7,Regular
455,F,Pooja Reddy,45,7,Corporate
456,F,Ayesha Patel,60,8,Regular
457,F,Pooja Chopra,25,6,One-time
458,M,Sanjay Reddy,59,10,One-time
459,F,Rekha Kumar,25,3,Regular
460,M,Sanjay Sharma,35,3,Corporate
461,M,Suresh Joshi,38,6,Corporate
462,M,Karan Reddy,63,5,One-time
463,F,Neha Joshi,30,6,One-time
464,M,Rajesh Iyer,44,2,Corporate
465,M,Arjun Iyer,64,4,Regular
466,M,Ramesh Patel,57,7,Regular
467,F,Anita Iyer,33,9,Corporate
468,F,Kavita Gupta,57,5,Corporate
469,M,Vijay Reddy,26,4,One-time
470,M,Sanjay Singh,44,5,One-time
471,M,Karan Sharma,34,10,One-time
472,M,Suresh Singh,20,2,Regular
473,F,Sonia Kumar,21,9,Corporate
474,F,Priya Patel,57,10,Regular
475,F,Ayesha Sharma,18,10,Corporate
476,M,Ramesh Iyer,31,7,One-time
477,F,Anita Gupta,25,8,Regular
478,F,Priya Kumar,24,9,One-time
479,F,Neha Chopra,47,3,Regular
480,F,Sunita Sharma,42,6,Corporate
481,M,Amit Joshi,56,5,Corporate
482,M,Rahul Iyer,33,2,Corporate
483,M,Sanjay Gupta,28,7,One-time
484,M,Arjun Reddy,42,1,One-time
485,F,Anita Gupta,50,6,Regular
486,F,Neha Singh,38,3,Regular
487,F,Kavita Patel,27,10,Regular
488,M,Anil Kumar,26,10,One-time
489,M,Anil Reddy,18,1,One-time
490,M,Karan Sharma,51,4,Corporate
491,F,Preeti Patel,48,2,One-time
492,F,Pooja Gupta,38,10,One-time
493,F,Pooja Gupta,41,10,One-time
494,M,Amit Joshi,36,2,Corporate
495,M,Karan Verma,38,1,Corporate
496,F,Preeti Reddy,42,7,Regular
497,M,Arjun Sharma,37,3,Regular
498,F,Priya Sharma,43,9,Corporate
499,M,Ramesh Patel,24,3,Corporate
500,F,Neha Patel,20,10,Regular
